a,b,resp,num_aureo
0,1,1,0.00000000
1,1,2,1.00000000
1,2,3,2.00000000
2,3,5,1.50000000
3,5,8,1.66666663
5,8,13,1.60000002
8,13,21,1.62500000
13,21,34,1.61538458
21,34,55,1.61904764
34,55,89,1.61764705
55,89,144,1.61818182
89,144,233,1.61797750
144,233,377,1.61805558
233,377,610,1.61802578
377,610,987,1.61803710
610,987,1597,1.61803281
987,1597,2584,1.61803448
1597,2584,4181,1.61803377
2584,4181,6765,1.61803401
4181,6765,10946,1.61803401
6765,10946,17711,1.61803401
10946,17711,28657,1.61803401
17711,28657,46368,1.61803401
28657,46368,75025,1.61803401
46368,75025,121393,1.61803401
75025,121393,196418,1.61803401
121393,196418,317811,1.61803401
196418,317811,514229,1.61803401
317811,514229,832040,1.61803401
514229,832040,1346269,1.61803401
832040,1346269,2178309,1.61803401
1346269,2178309,3524578,1.61803401
2178309,3524578,5702887,1.61803401
3524578,5702887,9227465,1.61803401
5702887,9227465,14930352,1.61803401
9227465,14930352,24157816,1.61803401
14930352,24157816,39088168,1.61803389
24157816,39088168,63245984,1.61803401
39088168,63245984,102334152,1.61803401
63245984,102334152,165580128,1.61803401
102334152,165580128,267914272,1.61803389
165580128,267914272,433494400,1.61803401
267914272,433494400,701408640,1.61803401
433494400,701408640,1134903040,1.61803389
701408640,1134903040,1836311680,1.61803401
1134903040,1836311680,2971214848,1.61803401
1836311680,2971214848,4807526400,1.61803401
2971214848,4807526400,7778741248,1.61803389
4807526400,7778741248,12586267648,1.61803401
7778741248,12586267648,20365008896,1.61803401
12586267648,20365008896,32951275520,1.61803401
20365008896,32951275520,53316284416,1.61803389
32951275520,53316284416,86267559936,1.61803401
53316284416,86267559936,139583848448,1.61803401
86267559936,139583848448,225851408384,1.61803401
139583848448,225851408384,365435256832,1.61803401
225851408384,365435256832,591286632448,1.61803401
365435256832,591286632448,956721922048,1.61803389
591286632448,956721922048,1548008554496,1.61803412
956721922048,1548008554496,2504730345472,1.61803401
1548008554496,2504730345472,4052738899968,1.61803389
2504730345472,4052738899968,6557469245440,1.61803401
4052738899968,6557469245440,10610208145408,1.61803401
6557469245440,10610208145408,17167677390848,1.61803401
10610208145408,17167677390848,27777885536256,1.61803401
17167677390848,27777885536256,44945561878528,1.61803401
27777885536256,44945561878528,72723443220480,1.61803401
44945561878528,72723443220480,117669000904704,1.61803389
72723443220480,117669000904704,190392444125184,1.61803401
117669000904704,190392444125184,308061428252672,1.61803401
190392444125184,308061428252672,498453872377856,1.61803389
308061428252672,498453872377856,806515267076096,1.61803401
498453872377856,806515267076096,1304969173008384,1.61803389
806515267076096,1304969173008384,2111484440084480,1.61803401
1304969173008384,2111484440084480,3416453747310592,1.61803401
2111484440084480,3416453747310592,5527938053177344,1.61803401
3416453747310592,5527938053177344,8944391800487936,1.61803389
5527938053177344,8944391800487936,14472330390536192,1.61803401
8944391800487936,14472330390536192,23416722191024128,1.61803401
14472330390536192,23416722191024128,37889050434076672,1.61803401
23416722191024128,37889050434076672,61305770477617152,1.61803389
37889050434076672,61305770477617152,99194820911693824,1.61803401
61305770477617152,99194820911693824,160500591389310976,1.61803401
99194820911693824,160500591389310976,259695403711070208,1.61803401
160500591389310976,259695403711070208,420195995100381184,1.61803389
259695403711070208,420195995100381184,679891398811451392,1.61803401
420195995100381184,679891398811451392,1100087359552094208,1.61803401
679891398811451392,1100087359552094208,1779978758363545600,1.61803389
1100087359552094208,1779978758363545600,2880066255354593280,1.61803401
1779978758363545600,2880066255354593280,4660044738840231936,1.61803401
2880066255354593280,4660044738840231936,7540110994194825216,1.61803389
4660044738840231936,7540110994194825216,12200155733035057152,1.61803401
7540110994194825216,12200155733035057152,19740266727229882368,1.61803401
12200155733035057152,19740266727229882368,31940421360753311744,1.61803401
19740266727229882368,31940421360753311744,51680688087983194112,1.61803389
31940421360753311744,51680688087983194112,83621113846783016960,1.61803401
51680688087983194112,83621113846783016960,135301801934766211072,1.61803412
83621113846783016960,135301801934766211072,218922915781549228032,1.61803401
135301801934766211072,218922915781549228032,354224717716315439104,1.61803401
218922915781549228032,354224717716315439104,573147651090050711552,1.61803401
354224717716315439104,573147651090050711552,927372368806366150656,1.61803401
573147651090050711552,927372368806366150656,1500520019896416862208,1.61803401
927372368806366150656,1500520019896416862208,2427892247965294657536,1.61803401
1500520019896416862208,2427892247965294657536,3928412267861711519744,1.61803389
2427892247965294657536,3928412267861711519744,6356304515827006177280,1.61803401
3928412267861711519744,6356304515827006177280,10284717346638671118336,1.61803401
6356304515827006177280,10284717346638671118336,16641021299515723874304,1.61803412
10284717346638671118336,16641021299515723874304,26925738646154394992640,1.61803389
16641021299515723874304,26925738646154394992640,43566759945670118866944,1.61803401
26925738646154394992640,43566759945670118866944,70492498591824513859584,1.61803401
43566759945670118866944,70492498591824513859584,114059263041094260097024,1.61803401
70492498591824513859584,114059263041094260097024,184551766136518401327104,1.61803401
114059263041094260097024,184551766136518401327104,298611029177612661424128,1.61803401
184551766136518401327104,298611029177612661424128,483162813328529572233216,1.61803401
298611029177612661424128,483162813328529572233216,781773878534939252621312,1.61803401
483162813328529572233216,781773878534939252621312,1264936763921062862782464,1.61803401
781773878534939252621312,1264936763921062862782464,2046710642456002115403776,1.61803401
1264936763921062862782464,2046710642456002115403776,3311647406377064978186240,1.61803401
2046710642456002115403776,3311647406377064978186240,5358358337063443245301760,1.61803401
3311647406377064978186240,5358358337063443245301760,8670005455210132071776256,1.61803412
5358358337063443245301760,8670005455210132071776256,14028363792273575317078016,1.61803389
8670005455210132071776256,14028363792273575317078016,22698368094562202782007296,1.61803401
14028363792273575317078016,22698368094562202782007296,36726731886835778099085312,1.61803389
22698368094562202782007296,36726731886835778099085312,59425097675554971667398656,1.61803401
36726731886835778099085312,59425097675554971667398656,96151827256547740552790016,1.61803389
59425097675554971667398656,96151827256547740552790016,155576924932102712220188672,1.61803401
96151827256547740552790016,155576924932102712220188672,251728752188650452772978688,1.61803401
155576924932102712220188672,251728752188650452772978688,407305658674009091283615744,1.61803401
251728752188650452772978688,407305658674009091283615744,659034429309403617766146048,1.61803389
407305658674009091283615744,659034429309403617766146048,1066340087983412709049761792,1.61803401
659034429309403617766146048,1066340087983412709049761792,1725374443505840031977701376,1.61803401
1066340087983412709049761792,1725374443505840031977701376,2791714605276229035865669632,1.61803389
1725374443505840031977701376,2791714605276229035865669632,4517089048782069067843371008,1.61803401
2791714605276229035865669632,4517089048782069067843371008,7308803654058298103709040640,1.61803401
4517089048782069067843371008,7308803654058298103709040640,11825892997988272350905237504,1.61803401
7308803654058298103709040640,11825892997988272350905237504,19134696061750760095908626432,1.61803401
11825892997988272350905237504,19134696061750760095908626432,30960590240330653164225167360,1.61803389
19134696061750760095908626432,30960590240330653164225167360,50095288663264654694956400640,1.61803412
30960590240330653164225167360,50095288663264654694956400640,81055878903595307859181568000,1.61803401
50095288663264654694956400640,81055878903595307859181568000,131151167566859962554137968640,1.61803401
81055878903595307859181568000,131151167566859962554137968640,212207055915188236152609964032,1.61803401
131151167566859962554137968640,212207055915188236152609964032,343358204592582267228167077888,1.61803401
212207055915188236152609964032,343358204592582267228167077888,555565260507770503380777041920,1.61803389
343358204592582267228167077888,555565260507770503380777041920,898923465100352770608944119808,1.61803401
555565260507770503380777041920,898923465100352770608944119808,1454488725608123273989721161728,1.61803401
898923465100352770608944119808,1454488725608123273989721161728,2353412266266339770512988700672,1.61803401
1454488725608123273989721161728,2353412266266339770512988700672,3807901142990190496331356700672,1.61803401
2353412266266339770512988700672,3807901142990190496331356700672,6161313409256530266844345401344,1.61803401
3807901142990190496331356700672,6161313409256530266844345401344,9969214552246720763175702102016,1.61803401
6161313409256530266844345401344,9969214552246720763175702102016,16130527961503251030020047503360,1.61803401
9969214552246720763175702102016,16130527961503251030020047503360,26099741304824152178566574899200,1.61803401
16130527961503251030020047503360,26099741304824152178566574899200,42230269266327403208586622402560,1.61803389
26099741304824152178566574899200,42230269266327403208586622402560,68330010571151555387153197301760,1.61803401
42230269266327403208586622402560,68330010571151555387153197301760,110560279837478958595739819704320,1.61803401
68330010571151555387153197301760,110560279837478958595739819704320,178890285572927235524376318181376,1.61803401
110560279837478958595739819704320,178890285572927235524376318181376,289450575081812751037149535535104,1.61803389
178890285572927235524376318181376,289450575081812751037149535535104,468340879997553100395592649015296,1.61803401
289450575081812751037149535535104,468340879997553100395592649015296,757791455079365851432742184550400,1.61803401
468340879997553100395592649015296,757791455079365851432742184550400,1226132335076918951828334833565696,1.61803401
757791455079365851432742184550400,1226132335076918951828334833565696,1983923790156284803261077018116096,1.61803401
1226132335076918951828334833565696,1983923790156284803261077018116096,3210056202604456210425679032877056,1.61803401
1983923790156284803261077018116096,3210056202604456210425679032877056,5193979838018236103014221688602624,1.61803401
3210056202604456210425679032877056,5193979838018236103014221688602624,8404035731137682492094831996698624,1.61803389
5193979838018236103014221688602624,8404035731137682492094831996698624,13598016188125938237799191134863360,1.61803401
8404035731137682492094831996698624,13598016188125938237799191134863360,22002051919263620729894023131561984,1.61803412
13598016188125938237799191134863360,22002051919263620729894023131561984,35600068107389558967693214266425344,1.61803401
22002051919263620729894023131561984,35600068107389558967693214266425344,57602122502533258268347787196235776,1.61803401
35600068107389558967693214266425344,57602122502533258268347787196235776,93202188134042738665280451664412672,1.61803401
57602122502533258268347787196235776,93202188134042738665280451664412672,150804310636575996933628238860648448,1.61803389
93202188134042738665280451664412672,150804310636575996933628238860648448,244006498770618735598908690525061120,1.61803401
150804310636575996933628238860648448,244006498770618735598908690525061120,394810809407194732532536929385709568,1.61803401
244006498770618735598908690525061120,394810809407194732532536929385709568,638817308177813468131445619910770688,1.61803401
394810809407194732532536929385709568,638817308177813468131445619910770688,1033628117585008200663982549296480256,1.61803401
638817308177813468131445619910770688,1033628117585008200663982549296480256,1672445346534659154531090575663300608,1.61803401
1033628117585008200663982549296480256,1672445346534659154531090575663300608,2706073384891504840930735531415830528,1.61803389
1672445346534659154531090575663300608,2706073384891504840930735531415830528,4378518731426163995461826107079131136,1.61803401
2706073384891504840930735531415830528,4378518731426163995461826107079131136,7084592433230318893449912012670763008,1.61803401
4378518731426163995461826107079131136,7084592433230318893449912012670763008,11463110847743832831854387745574092800,1.61803401
7084592433230318893449912012670763008,11463110847743832831854387745574092800,18547703280974151725304299758244855808,1.61803389
11463110847743832831854387745574092800,18547703280974151725304299758244855808,30010814128717984557158687503818948608,1.61803401
